DA_ID,Median_Household_Income,latitude,longitude
35200002,86528,43.822348999999996,-79.203717
35200003,98560,43.820658,-79.20241700000001
35200004,84736,43.820477000000004,-79.205126
35200005,73600,43.818464,-79.203343
35200006,80640,43.818098,-79.200601
35200007,101888,43.815188,-79.201666
35200009,82688,43.814087,-79.211533
35200010,86912,43.813990999999994,-79.20973000000001
35200012,91904,43.811054999999996,-79.21213399999999
35200018,22208,43.809086,-79.217388
35200028,59264,43.807508,-79.212402
35200029,68864,43.809527,-79.21206
35200030,76416,43.805536,-79.208626
35200031,76203,43.804912,-79.204486
35200032,82688,43.803812,-79.201693
35200033,85376,43.800543,-79.20241999999999
35200034,85888,43.798435999999995,-79.205738
35200035,70059,43.798193,-79.209705
35200036,88448,43.797333,-79.214123
35200037,64832,43.799510999999995,-79.212863
35200039,77568,43.80085,-79.213922
35200041,79872,43.799554,-79.21895500000001
35200042,70400,43.795673,-79.224335
35200043,70912,43.794577000000004,-79.223574
35200044,87296,43.794575,-79.229837
35200046,63872,43.796229,-79.232215
35200047,44416,43.794926000000004,-79.23755600000001
35200048,61568,43.796397999999996,-79.236947
35200049,62080,43.797973,-79.237309
35200050,67840,43.800208000000005,-79.235219
35200051,80640,43.801488,-79.23239000000001
35200052,48128,43.802817,-79.227479
35200053,80640,43.79974,-79.22931700000001
35200054,75008,43.796942,-79.22969599999999
35200055,86955,43.799336,-79.226294
35200056,77397,43.809228000000004,-79.233246
35200057,64640,43.809022999999996,-79.23059599999999
35200058,63147,43.808227,-79.229865
35200062,65408,43.812838,-79.235635
35200064,71936,43.805119,-79.261643
35200065,80896,43.807462,-79.258854
35200066,85760,43.808589000000005,-79.261114
35200067,68864,43.810014,-79.261935
35200068,81152,43.811181,-79.26074799999999
35200069,72960,43.812199,-79.26418199999999
35200070,72960,43.814997999999996,-79.264101
35200071,71552,43.814218,-79.268052
35200072,74368,43.816168,-79.269559
35200073,82688,43.812332,-79.267709
35200074,69888,43.812208,-79.270374
35200078,80640,43.805085,-79.271863
35200079,52096,43.806187,-79.267423
35200080,86144,43.803416999999996,-79.26815400000001
35200082,80896,43.801776000000004,-79.26135699999999
35200085,105813,43.802926,-79.2725
35200086,72192,43.799326,-79.27229200000001
35200087,80640,43.799518,-79.27785899999999
35200088,97024,43.801018,-79.279892
35200089,93184,43.80325,-79.277116
35200090,64512,43.80229,-79.283698
35200091,71680,43.798297999999996,-79.283156
35200092,63744,43.798294,-79.285496
