NAME,SCHOOL_BOARD,MUN,LATITUDE,LONGITUDE,SCHOOL_TYPE,2013 RATING,2014 RATING,2015 RATING,2016 RATING,2017 RATING,INCOME,INCOME_BINS
BREBEUF COLLEGE SCHOOL,ES,North York,43.8015247769,-79.4030414077,SECONDARY,5.8,6.5,5.5,5.2,5.8,130944.0,6
BRIAN PUBLIC SCHOOL,EP,North York,43.7817281249,-79.3318098371,ELEMENTARY,6.7,7.8,7.4,7.6,8.2,97280.0,4
BRIDLEWOOD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7808048754,-79.3150986096,ELEMENTARY,9.2,8.3,8.5,8.1,7.1,123072.0,6
BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8117085028,-79.2740928716,ELEMENTARY,6.7,7.1,7.0,7.3,6.5,57728.0,2
BROCK JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6530582733,-79.4378473815,ELEMENTARY,7.0,6.6,6.6,6.2,7.5,64256.0,3
BROOKSIDE PUBLIC SCHOOL,EP,Scarborough,43.830571737,-79.233607527,ELEMENTARY,7.7,7.9,7.6,7.3,7.4,108971.0,5
BROWN JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.684912913,-79.401312277,ELEMENTARY,8.4,8.8,8.5,8.4,6.7,80128.0,4
BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.7429657259,-79.575533843,ELEMENTARY,7.9,7.8,7.4,6.6,5.9,63360.0,3
BELLMERE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7719778947,-79.2351500731,ELEMENTARY,6.6,7.8,7.2,7.3,7.7,73984.0,3
BENDALE BUSINESS AND TECHNICAL INSTITUTE,EP,Scarborough,43.7553483643,-79.2647462877,SECONDARY,0.0,0.0,0.0,0.0,0.0,52896.0,2
BENNINGTON HEIGHTS ELEMENTARY SCHOOL,EP,East York,43.6938910519,-79.3695558663,ELEMENTARY,9.0,7.6,7.5,6.0,9.0,250368.0,10
BERNER TRAIL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8015707053,-79.2213557626,ELEMENTARY,5.2,5.3,5.3,5.4,6.4,68250.0,3
BESSBOROUGH DRIVE ELEMENTARY AND MIDDLE SCHOOL,EP,East York,43.7072233277,-79.3701384417,ELEMENTARY,8.5,8.9,8.6,8.3,7.4,192000.0,9
BEVERLY GLEN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7986617097,-79.3230708612,ELEMENTARY,7.2,9.0,8.0,7.9,7.1,61227.0,3
